code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
AB122	zimberelimab	PD-1	relimab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps4195	NCT03628677;NCT03629756;NCT04087018;NCT04104672	AB122	anti-X	8/9	asco-2024
AB154	domvanalimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.tps8609	NCT03628677;NCT04262856;NCT04656535;NCT04736173	AB154	X inhibitor	1/2	asco-2023
AB680	quemliclustat	CD73	stat	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-lb131;10.1200/jco.2024.42.16_suppl.tps4195	NCT04381832;NCT06048133	AB680	X inhibitor+anti-X	5/6	aacr-2024|asco-2024
ABBV-151	livmoniplimab	GARP	limab	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.tps4189;10.1200/jco.2024.42.16_suppl.tps4190	NCT03821935;NCT06632951	ABBV-151	targeting X	4/4	asco-2024
ABBV-155	mirzotamab clezutoclax		toclax	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.3027		ABBV-155		0/0	asco-2023
ABBV-181	budigalimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps4190	NCT03000257;NCT03639194;NCT03821935;NCT03893955	ABBV-181	anti-X	1/1	asco-2024
ABL503	ragistomig	PD-L1	mig	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.2529		ABL503	targeting X	1/2	asco-2024
ABSK011	irpagratinib	FGFR4	tinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-1228	NCT07010497	ABSK011	X inhibitor	4/4	aacr-2024
ABSK021	pimicotinib	CSF-1R	tinib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-lb077;10.1200/jco.2023.41.16_suppl.11559;10.1200/jco.2023.41.16_suppl.3100	NCT05804045;NCT06111274;NCT06186583	ABSK021	X inhibitor	7/12	aacr-2024|asco-2023
ABT-199	venetoclax	BCL-2	toclax	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	5	10.1158/1538-7445.am2023-3950;10.1158/1538-7445.am2023-4978;10.1158/1538-7445.am2023-5089;10.1158/1538-7445.am2023-5098	NCT01794520;NCT01889186;NCT01994837;NCT02141282	ABT-199	X inhibitor+targeting X	30/81	aacr-2023
ABT-263	navitoclax	BCL-2	toclax	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-3950;10.1158/1538-7445.am2023-4792;10.1158/1538-7445.am2024-675;10.1200/jco.2024.42.3_suppl.507	NCT01828476;NCT02591095;NCT05864742	ABT-263|ABT263	X inhibitor+targeting X	4/10	aacr-2023|aacr-2024|asco-2024
ABT-700	telisotuzumab	MET	zumab	inn(code)	cooc+ctgov+repeat	high	3	10.1200/jco.2023.41.16_suppl.9032;10.1200/jco.2023.41.16_suppl.e21105;10.1200/jco.2023.41.16_suppl.tps9149	NCT07323641	ABT-700	X bispecific+X-directed	4/4	asco-2023
ACR-368	prexasertib	CHK1/2	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-1562;10.1158/1538-7445.am2024-4749	NCT05548296;NCT06597565	ACR-368	X inhibitor	6/12	aacr-2023|aacr-2024
ACY-1215	ricolinostat		nostat	code(inn)	ctgov+trial	high	1	10.1158/1538-7445.am2023-6235	NCT01997840;NCT02189343;NCT02632071	ACY-1215		0/0	aacr-2023
AG-120	ivosidenib	IDH1	sidenib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-3701;10.1200/jco.2023.41.16_suppl.3152;10.1200/jco.2024.42.16_suppl.2040	NCT03173248;NCT03564821;NCT03839771;NCT04044209	AG-120	X inhibitor	10/22	aacr-2023|asco-2023|asco-2024
AK104	cadonilimab	PD-1	limab	inn(code)	cooc+ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.e17552;10.1200/jco.2024.42.16_suppl.e20518	NCT05063916;NCT05571644;NCT05578430;NCT05687851	AK104	X inhibitor+targeting X	9/20	asco-2024
AK112	ivonescimab	PD-1/VEGF	mab	inn(code)	ctgov+journal+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.9087;10.1200/jco.2024.42.16_suppl.8508	NCT05184712;NCT06196697;NCT06375486;NCT06402435	AK112	X bispecific+anti-X	2/3	asco-2023|asco-2024
ALX148	evorpacept	CD47	cept	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-ct037;10.1200/jco.2023.41.4_suppl.tps257;10.1200/jco.2024.42.16_suppl.3530	NCT03013218;NCT04675294;NCT04675333;NCT04755244	ALX148	X inhibitor	5/6	aacr-2024|asco-2023|asco-2024
AMG-176	tapotoclax	CLK	toclax	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.6570		AMG-176	X inhibitor	1/4	asco-2024
AMG-509	xaluritamig	STEAP2	mig	inn(code)	ctgov	medium	1	10.1158/1538-7445.am2024-6348	NCT07493512	AMG-509	anti-X	1/1	aacr-2024
AMG510	sotorasib	G12C	rasib	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	15	10.1158/1538-7445.am2023-1079;10.1158/1538-7445.am2023-257;10.1158/1538-7445.am2023-26;10.1158/1538-7445.am2023-2692	NCT05398094;NCT06068153	AMG-510|AMG510	X inhibitor+X-directed	40/114	aacr-2023|aacr-2024|asco-2023|asco-2024
ANZUP-1603	docetaxel	PD-1	taxel	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.5055		ANZUP-1603	X inhibitor+anti-X	2/7	asco-2024
APG-2575	lisaftoclax	BCL-2	toclax	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-1631;10.1200/jco.2023.41.16_suppl.7569;10.1200/jco.2024.42.16_suppl.7078	NCT04215809;NCT04501120;NCT06104566;NCT06319456	APG-2575	X inhibitor	14/14	aacr-2023|asco-2023|asco-2024
APL-101	vebreltinib	MET	tinib	inn(code)	cooc+ctgov	high	1	10.1158/1538-7445.am2024-6500	NCT03655613	APL-101	X inhibitor	1/1	aacr-2024
ARI0002H	cesnicabtagene autoleucel		leucel	code(inn)	trial	medium	1	10.1200/jco.2024.42.16_suppl.7544	NCT06830733	ARI0002H		0/0	asco-2024
ARQ-531	nemtabrutinib	BTK	tinib	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.tps7593	NCT06688045	ARQ-531	X inhibitor	2/2	asco-2023
ARV-471	vepdegestrant	ER	estrant	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-595;10.1200/jco.2024.42.16_suppl.tps1131	NCT04606446;NCT05463952;NCT05548127;NCT05573555	ARV-471	X inhibitor+X-directed	9/11	aacr-2024|asco-2024
ASTX727	decitabine cedazuridine	DNA	uridine	code(inn)	cooc+ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.11531;10.1200/jco.2024.42.16_suppl.11526	NCT03306264;NCT03813186;NCT03922555;NCT04093570	ASTX727	targeting X	1/3	asco-2023|asco-2024
ATG-008	onatasertib	TORC1/2	sertib	inn(code)	repeat	medium	3	10.1158/1538-7445.am2023-ct150;10.1200/jco.2023.41.16_suppl.2526;10.1200/jco.2024.42.16_suppl.5509		ATG-008	X inhibitor	6/16	aacr-2023|asco-2023|asco-2024
AUM001	tinodasertib	MNK	sertib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-5932	NCT05462236	AUM001	X inhibitor	1/2	aacr-2024
AUTO1	obecabtagene autoleucel		leucel	inn(code)	ctgov+repeat	high	2	10.1200/jco.2023.41.16_suppl.7000;10.1200/jco.2024.42.16_suppl.6504	NCT04404660	AUTO1		0/0	asco-2023|asco-2024
AUY922	luminespib	HSP90	ib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-4912		AUY922	X inhibitor	3/3	aacr-2023
AZD1775	adavosertib	WEE1	sertib	inn(code)	ctgov+journal+trial	high	1	10.1200/jco.2024.42.16_suppl.8545	NCT02101775;NCT02381548;NCT02617277;NCT03253679	AZD1775	X inhibitor	9/10	asco-2024
AZD2171	cediranib	VEGFR2	anib	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.4_suppl.194	NCT00303862	AZD2171	X inhibitor	1/1	asco-2023
AZD2281	olaparib	PARP	parib	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.tps4607	NCT02576444;NCT04394858;NCT06419179	AZD2281	X inhibitor	71/93	asco-2023
AZD2936	rilvegostomig	PD-1/TIGIT	mig	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps6122	NCT04686305;NCT04995523;NCT05123482;NCT05489211	AZD2936	X bispecific+anti-X	6/10	asco-2024
AZD3759	zorifertinib		ertinib	code(inn)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.9001	NCT07361705	AZD3759		0/0	asco-2023
AZD5305	saruparib	PARP1	parib	inn(code)	cooc+ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-lb406;10.1200/jco.2024.42.16_suppl.tps5123	NCT04005690;NCT05123482;NCT05938270;NCT06120491	AZD5305	X inhibitor	12/19	aacr-2024|asco-2024
AZD5363	capivasertib	AKT	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-6142;10.1158/1538-7445.am2024-lb115;10.1158/1538-7445.am2024-lb452;10.1200/jco.2023.41.16_suppl.tps5629	NCT02208375;NCT02423603;NCT04087174;NCT04439123	AZD5363	X inhibitor	8/17	aacr-2023|aacr-2024|asco-2023
AZD6244	selumetinib	MEK	metinib	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-4652;10.1200/jco.2023.41.16_suppl.tps7084	NCT01222689;NCT01949870;NCT01960374;NCT01974349	AZD6244	X inhibitor	8/10	aacr-2024|asco-2023
AZD6738	ceralasertib	ATR	sertib	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-5061;10.1158/1538-7445.am2023-6195;10.1158/1538-7445.am2023-lb227;10.1200/jco.2024.42.16_suppl.e20035	NCT02813135;NCT03022409;NCT03328273;NCT03330847	AZD6738	X inhibitor	16/20	aacr-2023|asco-2024
AZD9291	osimertinib	EGFR	ertinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-5868	NCT02151981;NCT02465060;NCT02503722;NCT02664935	AZD9291	X bispecific+X inhibitor+X-directed+anti-X+targeting X	35/59	aacr-2024
BAL101553	lisavanbulin		bulin	inn(code)	cooc+ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.2058	NCT02490800	BAL101553		0/0	asco-2023
BAY1521152	enitociclib	CDK9	ciclib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-1558		BAY1521152	X inhibitor	2/2	aacr-2023
BAY1895344	elimusertib	ATR	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	5	10.1158/1538-7445.am2023-5061;10.1158/1538-7445.am2023-6180;10.1158/1538-7445.am2023-6195;10.1200/jco.2024.42.16_suppl.3076	NCT03188965;NCT04095273;NCT04267939;NCT04491942	BAY-1895344|BAY1895344	X inhibitor	17/20	aacr-2023|asco-2024
BAYK8644	boritinib	PD-1	tinib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-5116		BAYK8644	anti-X	3/5	aacr-2023
BB2121	idecabtagene vicleucel		leucel	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.e20005	NCT06045806	BB2121		0/0	asco-2023
BCD-100	prolgolimab	PD-1	olimab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.e14701	NCT05732805	BCD-100	anti-X	6/6	asco-2023
BCD-145	nurulimab	PD-1	limab	code(inn)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.9526		BCD-145	targeting X	1/1	asco-2024
BGB-11417	sonrotoclax	BCL2	toclax	inn(code)	ctgov+journal+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.tps7087;10.1200/jco.2024.42.16_suppl.tps7090	NCT04277637;NCT04973605;NCT05471843;NCT05952037	BGB-11417	X inhibitor	4/5	asco-2024
BGB-290	pamiparib	PARP	parib	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps5621	NCT02660034;NCT03150810;NCT03333915;NCT03427814	BGB-290	X inhibitor	2/2	asco-2024
BGB324	bemcentinib	AXL	tinib	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.e15116	NCT02424617;NCT02488408;NCT03184558;NCT03184571	BGB324	X inhibitor	4/5	asco-2024
BGJ398	infigratinib	FGFR	tinib	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.4511;10.1200/jco.2024.42.3_suppl.516	NCT02150967;NCT02706691;NCT03773302;NCT05019794	BGJ398	X inhibitor	2/3	asco-2023|asco-2024
BIDX3	elimusertib	ATR	sertib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-6195		BIDX3	X inhibitor	10/13	aacr-2023
BLU-667	pralsetinib	RET	tinib	inn(code)	ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-3419;10.1158/1538-7445.am2023-3851;10.1158/1538-7445.am2024-4660;10.1158/1538-7445.am2024-lb389	NCT03037385	BLU-667|BLU667	X inhibitor+X-directed+targeting X	8/10	aacr-2023|aacr-2024
BMN-673	talazoparib	PARP	parib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-lb260	NCT02878785;NCT04901702	BMN-673	X inhibitor	29/32	aacr-2024
BVD-523	ulixertinib	ERK	ertinib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-2692;10.1158/1538-7445.am2023-2693;10.1200/jco.2023.41.16_suppl.tps4174	NCT03155620;NCT03454035;NCT04145297	BVD-523	X inhibitor	3/5	aacr-2023|asco-2023
BXCL701	talabostat		stat	code(inn)	ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.tps5109;10.1200/jco.2023.41.6_suppl.176	NCT00080080;NCT04123574	BXCL701		0/0	asco-2023
BYL719	alpelisib	PI3K	lisib	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-2484;10.1158/1538-7445.am2024-1955;10.1158/1538-7445.am2024-4693	NCT01923168;NCT02058381;NCT02379247;NCT04208178	BYL719	X inhibitor	17/38	aacr-2023|aacr-2024
CA-4948	emavusertib	PD-1	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	8	10.1158/1538-7445.am2023-4492;10.1158/1538-7445.am2023-lb203;10.1158/1538-7445.am2024-2902;10.1158/1538-7445.am2024-ct150	NCT03328078;NCT04278768;NCT05685602;NCT06439836	CA-4948	anti-X	12/16	aacr-2023|aacr-2024|asco-2023|asco-2024
CAN04	nadunolimab	IL1RAP	olimab	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-2172;10.1158/1538-7445.am2023-6429;10.1200/jco.2023.41.16_suppl.9089	NCT05116891	CAN04	anti-X+targeting X	12/16	aacr-2023|asco-2023
CB-839	teleglenastat	GLS	stat	inn(code)	none	unsupported	1	10.1200/jco.2023.41.6_suppl.378		CB-839	X inhibitor	5/6	asco-2023
CC-220	iberdomide		domide	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.e20043	NCT03310619;NCT04564703;NCT04882163;NCT04884035	CC-220		0/0	asco-2023
CC-930	tanzisertib	JNK	sertib	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.e14520		CC-930	X inhibitor	2/2	asco-2024
CC-99282	golcadomide		domide	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-3305	NCT05169515;NCT06209619;NCT06835530;NCT07763418	CC-99282		0/0	aacr-2024
CCS1477	inobrodib	CBP/P300	ib	code(inn)+inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-1449;10.1158/1538-7445.am2023-ct136;10.1158/1538-7445.am2024-7116	NCT04068597;NCT07096778	CCS1477	X inhibitor+targeting X	3/6	aacr-2023|aacr-2024
CEP701	lestaurtinib		tinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-6730	NCT00494585;NCT02428543	CEP701		0/0	aacr-2023
CGT9486	bezuclastinib		lastinib	inn(code)	ctgov+repeat+trial	high	3	10.1200/jco.2024.42.16_suppl.11533;10.1200/jco.2024.42.16_suppl.tps11588;10.1200/jco.2024.42.3_suppl.tps766	NCT04996875;NCT05186753;NCT05208047	CGT9486		0/0	asco-2024
CH14	dinutuximab	GD2	ximab	inn(code)	repeat+trial	high	2	10.1158/1538-7445.am2024-nd08;10.1200/jco.2024.42.16_suppl.10044	NCT02743429;NCT02914405;NCT06071897	CH14	X-directed+anti-X	10/14	aacr-2024|asco-2024
CLN-081	zipalertinib		ertinib	inn(code)	ctgov+repeat	high	3	10.1200/jco.2024.42.16_suppl.tps8670;10.1200/jco.2024.42.16_suppl.tps8671;10.1200/jco.2024.42.23_suppl.tps219	NCT05973773	CLN-081		0/0	asco-2024
CPI-0209	tulmimetostat	EZH2/EZH1	stat	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.3094	NCT04104776	CPI-0209	X inhibitor	6/6	asco-2023
CPI-0610	pelabresib	BET	ib	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.7019	NCT02158858;NCT04603495;NCT05391022	CPI-0610	X inhibitor	2/2	asco-2023
CPI-613	devimistat		stat	code(inn)	cooc+ctgov+journal+repeat+trial	high	3	10.1158/1538-7445.am2023-527;10.1158/1538-7445.am2024-ct080;10.1200/jco.2023.41.4_suppl.tps760	NCT03504410;NCT04203160;NCT04593758;NCT05070104	CPI-613		0/0	aacr-2023|aacr-2024|asco-2023
CT7001	samuraciclib	CDK7	ciclib	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-5981;10.1200/jco.2024.42.16_suppl.tps1126	NCT03363893;NCT04802759	CT7001	X inhibitor	4/5	aacr-2023|asco-2024
CTL-002	visugromab	PD1	omab	inn(code)	ctgov+repeat+trial	high	4	10.1200/jco.2023.41.16_suppl.2501;10.1200/jco.2023.41.6_suppl.tps595;10.1200/jco.2024.42.16_suppl.2513;10.1200/jco.2024.42.4_suppl.tps712	NCT04725474;NCT06059547;NCT07098988;NCT07112196	CTL-002	anti-X	2/2	asco-2023|asco-2024
CX-4945	silmitasertib	CK2	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-3271;10.1158/1538-7445.am2024-4325	NCT03904862;NCT06541262	CX-4945	X inhibitor	5/7	aacr-2024
CYC065	fadraciclib	CDK2/9	ciclib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-518;10.1200/jco.2024.42.16_suppl.3125;10.1200/jco.2024.42.16_suppl.3596	NCT02813135;NCT04983810;NCT05168904;NCT05817890	CYC065	X inhibitor	9/14	aacr-2024|asco-2024
DRP-104	sirpiglenastat	GLUTAMINE	stat	code(inn)	trial	medium	1	10.1158/1538-7445.am2023-4904	NCT04471415	DRP-104	X inhibitor	3/5	aacr-2023
DS-7300	ifinatamab deruxtecan	B7-H3	tecan	inn(code)	repeat	medium	2	10.1158/1538-7445.am2023-4891;10.1158/1538-7445.am2024-lb402		DS-7300	X-directed+anti-X	9/13	aacr-2023|aacr-2024
DS-8201	transtuzumab deruxtecan	HER2	tecan	inn(code)	repeat	ambiguous	2	10.1158/1538-7445.am2023-4000;10.1158/1538-7445.am2023-6307		DS-8201	X bispecific+X-directed+targeting X	5/6	aacr-2023
DS-8201	trastuzumab deruxotecan	HER2	tecan	inn(code)	none	ambiguous	1	10.1158/1538-7445.am2023-2643		DS-8201	X bispecific+X inhibitor+X-directed+anti-X+targeting X	45/70	aacr-2023
DS-8201A	trastuzumab deruxtecan	HER2	tecan	inn(code)	ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-3242;10.1158/1538-7445.am2024-5820;10.1200/jco.2023.41.16_suppl.11527;10.1200/jco.2023.41.16_suppl.e14509	NCT03368196;NCT03505710;NCT03523585;NCT03529110	DS-8201A	X bispecific+X inhibitor+X-directed+anti-X+targeting X	41/65	aacr-2023|aacr-2024|asco-2023
DZD9008	sunvozertinib	EGFR	ertinib	inn(code)	ctgov+repeat+trial	high	4	10.1200/jco.2023.41.16_suppl.9002;10.1200/jco.2023.41.16_suppl.9073;10.1200/jco.2024.42.16_suppl.8513;10.1200/jco.2024.42.16_suppl.8563	NCT05668988;NCT05712902;NCT06563999	DZD9008	X inhibitor+targeting X	5/5	asco-2023|asco-2024
EPZ-6438	tazemetostat	EZH2	stat	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.e17620	NCT03155620	EPZ-6438	X inhibitor+anti-X+targeting X	16/21	asco-2023
ERAS-254	naporafenib	PAN-RAF	rafenib	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps3178	NCT05907304;NCT06346067	ERAS-254	X inhibitor	1/1	asco-2024
ETCTN-10402	topotecan	TOP1	tecan	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.3076		ETCTN-10402	X inhibitor	2/5	asco-2024
FD-895	rebecsinib	ADAR1	nib	inn(code)	ctgov	medium	1	10.1158/1538-7445.am2023-123	NCT07250646	FD-895	X inhibitor	1/1	aacr-2023
FF-10832	gemcitabine	PKC	citabine	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.2615	NCT03440450;NCT04233866;NCT05318573	FF-10832	targeting X	2/8	asco-2024
FP-1305	bexmarilimab	CLEVER-1	limab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-4334	NCT03733990;NCT05171062;NCT07672769	FP-1305	X-directed+anti-X	3/3	aacr-2023
FPA144	bemarituzumab	FGFR2B	zumab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.e15019	NCT03343301;NCT03694522	FPA144	X-directed+anti-X+targeting X	4/4	asco-2024
GB226	geptanolimab		olimab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.5535	NCT03374007;NCT03502629;NCT03623581;NCT03639181	GB226		0/0	asco-2023
GB491	lerociclib	CDK4/6	ciclib	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.1017		GB491	X inhibitor	2/2	asco-2023
GEN1046	acasunlimab	BB	limab	inn(code)	ctgov+trial	high	1	cimt-2026:poster-session-i/128-cross-presentation-and-pd-l1-expression-by-cdc1s-are-key-for	NCT03917381;NCT04937153;NCT05117242;NCT06046274	GEN1046	X bispecific	2/3	cimt-2026
GEN3013	epcoritamab	CD3XCD20	mab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-3248	NCT03625037;NCT04623541;NCT04628494;NCT05660967	GEN3013	X bispecific	3/8	aacr-2023
GFH925	fulzerasib	G12C	rasib	inn(code)	none	unsupported	1	10.1200/jco.2024.42.17_suppl.lba8511		GFH925	X inhibitor	2/2	asco-2024
GM6001	ilomostat	MMP	stat	inn(code)	none	unsupported	1	10.1158/1538-7445.am2024-4699		GM6001	X inhibitor	4/5	aacr-2024
GNC-038	emfizatamab	TETRA	mab	code(inn)	none	unsupported	1	10.1158/1538-7445.am2023-5681		GNC-038	X-directed	2/4	aacr-2023
GSK525762	molibresib		ib	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.1073	NCT04116359	GSK525762		0/0	asco-2023
HB1801	docetaxel	PD-1	taxel	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.e16018	NCT05838066;NCT06136988;NCT06319313;NCT06525350	HB1801	X inhibitor+anti-X	2/8	asco-2024
HBM4003	porustobart	CTLA-4	bart	inn(code)	ctgov+repeat	high	2	10.1158/1538-7445.am2023-ct263;10.1200/jco.2023.41.16_suppl.e16106	NCT05167071	HBM4003	anti-X+targeting X	9/9	aacr-2023|asco-2023
HC-1119	deutenzalutamide		lutamide	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.5065		HC-1119		0/0	asco-2023
HE072	irinotecan	VEGF	tecan	inn(code)	cooc+repeat	medium	2	10.1200/jco.2024.42.16_suppl.1080;10.1200/jco.2024.42.16_suppl.4141		HE072	anti-X	5/24	asco-2024
HL-085	tunlametinib	MEK	metinib	inn(code)	ctgov+repeat+trial	high	3	10.1200/jco.2023.41.16_suppl.9510;10.1200/jco.2024.42.16_suppl.9545;10.1200/jco.2024.42.16_suppl.tps9606	NCT07170293	HL-085	X inhibitor	2/5	asco-2023|asco-2024
HM06	vepafestinib		tinib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-4007		HM06		0/0	aacr-2023
HQP1351	olverembatinib	BCR-ABL1	tinib	inn(code)	ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-1631;10.1158/1538-7445.am2023-5071;10.1200/jco.2023.41.16_suppl.11540;10.1200/jco.2024.42.16_suppl.11502	NCT05311943;NCT05376852;NCT05604755;NCT06423911	HQP1351	targeting X	2/3	aacr-2023|asco-2023|asco-2024
HSTC810	nelmastobart	BTN1A1	bart	inn(code)	repeat+trial	high	2	10.1158/1538-7445.am2023-ct238;10.1200/jco.2023.41.16_suppl.2633	NCT07656038	HSTC810	anti-X+targeting X	5/5	aacr-2023|asco-2023
