code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
LOXO-292	selpercatinib	RET	tinib	inn(code)	ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-3419;10.1158/1538-7445.am2023-3851;10.1158/1538-7445.am2024-4660;10.1158/1538-7445.am2024-lb389	NCT03157128;NCT03899792	LOXO-292	X inhibitor+X-directed	17/19	aacr-2023|aacr-2024
LOXO-305	pirtobrutinib	BTK	tinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-ct147	NCT03740529;NCT04662255;NCT04666038;NCT04965493	LOXO-305	X inhibitor	6/10	aacr-2024
LP-10	tacrolimus	CALCINEURIN	rolimus	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.e24064	NCT06233591	LP-10	X inhibitor	1/1	asco-2023
LUAD12C	capmatinib	MET	tinib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-6127		LUAD12C	X inhibitor+targeting X	5/6	aacr-2023
LY2606368	prexasertib	CHK1	sertib	inn(code)	cooc+ctgov+trial	high	1	10.1158/1538-7445.am2023-482	NCT02124148;NCT02203513;NCT02514603;NCT02555644	LY2606368	X inhibitor	4/8	aacr-2023
LY3527723	selpercatinib	RET	tinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-3851	NCT03899792;NCT04194944;NCT04211337;NCT04280081	LY3527723	X inhibitor+X-directed	15/17	aacr-2023
LY3537982	olomorasib	G12C	rasib	inn(code)	ctgov+repeat+trial	high	5	10.1200/jco.2024.42.16_suppl.3007;10.1200/jco.2024.42.16_suppl.8510;10.1200/jco.2024.42.16_suppl.tps8649;10.1200/jco.2024.42.23_suppl.195	NCT06119581;NCT06890598	LY3537982	X inhibitor	7/7	asco-2024
MAS98	paclitaxel	PD-1	taxel	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-4675		MAS98	anti-X	3/15	aacr-2023
MCF7	fulvestrant	ER	estrant	inn(code)	cooc	low	1	10.1200/jco.2023.41.16_suppl.e13077		MCF7	X inhibitor	8/19	asco-2023
MCLA-128	zenocutuzumab	HER2XHER3	zumab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-1903	NCT02912949;NCT03321981;NCT05588609	MCLA-128	X bispecific	2/4	aacr-2024
