primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
imlunestrant	imlunestrant|inluriyo	imlunestrant|inluriyo	1	2025-09-25	2025-09-25	LY-3484356|LY3484356	LY-3484356:ctgov:strong|LY3484356:ctgov+ctloc:strong	LY-3484356|LY3484356	15	2019-12-10	NCT04188548	PHASE1	1	inn	Eli Lilly and Company	2019-12-10	NCT04188548	0	2019-12-10	2019-12-10	2019-12-10	high	LY-3484356
lurbinectedin	lurbinectedin|zepzelca	lurbinectedin|zepzelca	1	2025-10-02	2025-10-02	JZP712|PM01183|PM1183	JZP712:ctgov:strong|PM01183:ctgov:strong|PM1183:ctgov:strong	JZP712|PM01183|PM1183	64	2009-03	NCT00877474	PHASE1	1	code	PharmaMar	2011-05	NCT01970553	26	2009-03	2009-03	2011-05	high	JZP712|PM01183|PM1183
cemiplimab-rwlc	cemiplimab|libtayo	cemiplimab|libtayo	1	2025-10-08	2025-10-08	HDREGN2810|ISA101B|REGN-2810|REGN2810|REGN3767|SAR439684|SDREGN2810	HDREGN2810:ctgov:strong|ISA101B:ctgov:strong|REGN-2810:ctgov:strong|REGN2810:conf+ctgov+ctloc:strong|REGN3767:ctgov:strong|SAR439684:ctloc:strong|SDREGN2810:ctgov:strong	HDREGN2810|ISA101B|REGN-2810|REGN2810|REGN3767|SAR439684|SDREGN2810	216	2013-09	NCT02128126	PHASE1;PHASE2	1	code	ISA Pharmaceuticals	2015-02-02	NCT02383212	17	2013-09	2010-03-01	2015-02-02	high	HDREGN2810|ISA101B|REGN-2810|REGN3767|SDREGN2810
belantamab mafodotin-blmf	belantamab mafodotin|blenrep	belantamab mafodotin|blenrep	1	2025-10-23	2025-10-23	GSK2857916	GSK2857916:conf+ctgov+ctloc:strong	GSK2857916	68	2014-07-29	NCT02064387	PHASE1	1	code	GlaxoSmithKline	2018-06-18	NCT03525678	47	2014-07-29	2014-07-29	2014-07-29	high	
Poherdy	pertuzumab	pertuzumab	1	2025-11-13	2025-11-13	BCD-178|DHP107|EG1206A|HLX11|HS627|MOAB-2C4|RG1273|RG6264|RHUMAB-2C4|RHUMAB2C4|RMX3001|RO4368451|RO7198574|TQB-2440|TQB2440	BCD-178:ctgov:strong|DHP107:ctgov:strong|EG1206A:ctgov:strong|HLX11:ctgov:strong|HS627:ctgov:strong|MOAB-2C4:ctgov:rejected|RG1273:ctgov:strong|RG6264:ctgov:strong|RHUMAB-2C4:ctgov:strong|RHUMAB2C4:ctgov:strong|RMX3001:ctgov:strong|RO4368451:ctgov:strong|RO7198574:ctgov:strong|TQB-2440:ctgov:strong|TQB2440:ctgov:strong	BCD-178|DHP107|EG1206A|HLX11|HS627|RG1273|RG6264|RHUMAB-2C4|RHUMAB2C4|RMX3001|RO4368451|RO7198574|TQB-2440|TQB2440	289	2001-11	NCT00027027	PHASE1	1	code	Genentech, Inc.	2003-02	NCT02491892	15	2001-11	2001-11	2003-02	high	BCD-178|DHP107|EG1206A|HLX11|HS627|RG1273|RG6264|RHUMAB-2C4|RHUMAB2C4|RMX3001|RO4368451|RO7198574|TQB-2440|TQB2440
ziftomenib	komzifti|ziftomenib	komzifti|ziftomenib	1	2025-11-13	2025-11-13	KO-539|KO539	KO-539:conf+ctgov:strong|KO539:ctgov:strong	KO-539|KO539	15	2019-09-12	NCT04067336	PHASE1;PHASE2	1	inn	Kura Oncology, Inc.	2019-09-12	NCT04067336	0	2019-09-12	2019-09-12	2019-09-12	high	KO539
sevabertinib	hyrnuo|sevabertinib	hyrnuo|sevabertinib	1	2025-11-19	2025-11-19	BAY-2927088|BAY2927088	BAY-2927088:ctgov+ctloc:strong|BAY2927088:ctgov:strong	BAY-2927088|BAY2927088	10	2021-10-25	NCT05099172	PHASE1;PHASE2	1	code	Bayer	2024-08-28	NCT06452277	34	2021-10-25	2021-10-25	2021-10-25	high	BAY2927088
rucaparib	rubraca|rucaparib	rubraca|rucaparib	1	2025-12-17	2025-12-17	AG-014447|AG-14699|CO-338	AG-014447:ctgov:strong|AG-14699:ctgov:strong|CO-338:ctgov:strong	AG-014447|AG-14699|CO-338	60	2007-12	NCT00664781	PHASE2	1	inn	Cancer Research UK	2007-12	NCT00664781	0	2007-12	2007-12	2007-12	low	AG-014447|AG-14699|CO-338
teclistamab	teclistamab|tecvayli	teclistamab|tecvayli	1	2026-03-05	2026-03-05				58	2017-05-16	NCT03145181	PHASE1	1	inn	Janssen Research & Development, LLC	2017-05-16	NCT03145181	0	2017-05-16	2017-05-16	2017-05-16	high	
relacorilant	lifyorli|relacorilant	lifyorli|relacorilant	1	2026-03-25	2026-03-25	CORT-125134|CORT125134	CORT-125134:ctgov:strong|CORT125134:ctgov:strong	CORT-125134|CORT125134	26	2014-09	NCT03508635	PHASE1	1	code	Corcept Therapeutics	2016-05-23	NCT02762981	20	2014-09	2014-09	2016-05-23	high	CORT-125134|CORT125134
vepdegestrant	vepdegestrant|veppanu	vepdegestrant|veppanu	1	2026-05-01	2026-05-01	ARV-471	ARV-471:conf+ctgov:strong	ARV-471	24	2019-08-05	NCT04072952	PHASE1;PHASE2	1	code	Arvinas Estrogen Receptor, Inc.	2020-11-16	NCT04606446	15	2019-08-05	2010-03-01	2019-08-05	high	
decitabine	cedazuridine|decitabine|inqovi	cedazuridine|decitabine|inqovi	1	2026-05-13	2026-05-13	ASTX-727|ASTX727|IND-50733|LBH589|NSC-127716|PKC412	ASTX-727:ctgov:strong|ASTX727:conf+ctgov+ctloc:strong|IND-50733:ctgov:strong|LBH589:ctgov:strong|NSC-127716:ctgov:strong|PKC412:ctgov:strong	ASTX-727|ASTX727|IND-50733|LBH589|NSC-127716|PKC412	496	1995-08	NCT00002832	PHASE1;PHASE2	1	inn	M.D. Anderson Cancer Center	1995-08	NCT00002832	0	1995-08	1995-08	1995-08	high	ASTX-727|IND-50733|LBH589|NSC-127716|PKC412
sonrotoclax	beqalzi|sonrotoclax	beqalzi|sonrotoclax	1	2026-05-13	2026-05-13	BG-71332|BGB-11417|BGB11417	BG-71332:ctgov:strong|BGB-11417:conf+ctgov+ctloc+jrnl:strong|BGB11417:ctgov:strong	BG-71332|BGB-11417|BGB11417	42	2020-02-19	NCT04271956	PHASE2	1	inn	German CLL Study Group	2020-02-19	NCT04271956	0	2020-02-19	2020-02-19	2020-02-19	low	BG-71332|BGB11417
pivekimab sunirine-pvzy	decnupaz|pivekimab sunirine	decnupaz|pivekimab sunirine	1	2026-05-27	2026-05-27	IMGN-632|IMGN632	IMGN-632:ctgov:strong|IMGN632:conf+ctgov+jrnl:strong	IMGN-632|IMGN632	6	2018-01-02	NCT03386513	PHASE1;PHASE2	1	code	AbbVie	2023-12-18	NCT06034470	71	2018-01-02	2018-01-02	2018-01-02	high	IMGN-632
palbociclib	ibrance|palbociclib	ibrance|palbociclib	1	2026-06-24	2026-06-24	ONT-380	ONT-380:ctgov:conflict		269	2009-10	NCT01037790	PHASE2	0	inn	Abramson Cancer Center at Penn Medicine	2009-10	NCT01037790	0	2010-09-23	2009-10	2009-10	low	
tregzi	tregzi	tregzi	1	2026-06-30	2026-06-30				0				0									none	
gedatolisib	gedatolisib|revtorpyk	gedatolisib|revtorpyk	1	2026-07-14	2026-07-14	PKI-587	PKI-587:ctgov:strong	PKI-587	17	2010-01	NCT00940498	PHASE1	1	code	Pfizer	2013-09-10	NCT01920061	44	2010-01	2010-01	2013-09-10	high	PKI-587
zidesamtinib	jideytro|zidesamtinib	jideytro|zidesamtinib	1	2026-07-22	2026-07-22	NVL-520	NVL-520:ctgov:strong	NVL-520	1	2022-01-04	NCT05118789	PHASE1;PHASE2	1	inn	Nuvalent Inc.	2022-01-04	NCT05118789	0	2022-01-04	2022-01-04	2022-01-04	high	NVL-520
vusolimogene oderparepvec-wtpg	tudriqev|vusolimogene oderparepvec	tudriqev|vusolimogene oderparepvec	1	2026-08-06	2026-08-06	RP1	RP1:conf+ctgov+ctloc+jrnl:strong	RP1	8	2017-09-20	NCT03767348	PHASE2	1	code	Replimune, Inc.	2024-03-07	NCT06216938	78	2017-09-20	2017-09-20	2017-09-20	low	
iberdomide	iberdomide|zenbexus	iberdomide|zenbexus	1	2026-08-13	2026-08-13	BMS-986382|CC-220|CC220	BMS-986382:ctgov:strong|CC-220:conf+ctgov+ctloc:strong|CC220:ctgov:strong	BMS-986382|CC-220|CC220	53	2012-11-01	NCT01733875	PHASE1	1	code	Celgene	2016-10-14	NCT02773030	47	2012-11-01	2012-11-01	2012-11-01	high	BMS-986382|CC220
daraxonrasib	daraxonrasib|rasonque	daraxonrasib|rasonque	1	2026-08-26	2026-08-26	RMC-6236	RMC-6236:conf+ctgov+ctloc:strong	RMC-6236	15	2022-05-31	NCT05379985	PHASE1;PHASE2	1	code	Revolution Medicines, Inc.	2023-11-14	NCT06128551	18	2022-05-31	2022-05-31	2022-05-31	high	
