primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
durvalumab	durvalumab|imfinzi	durvalumab|imfinzi	6	2024-06-14	2026-05-28	MEDI-4736|MEDI4736|NSC-778709	MEDI-4736:conf+ctgov:strong|MEDI4736:conf+ctgov+ctloc:strong|NSC-778709:ctgov:strong	MEDI-4736|MEDI4736|NSC-778709	364	2012-09-05	NCT01693562	PHASE1;PHASE2	1	inn	MedImmune LLC	2012-09-05	NCT01693562	0	2012-09-05	2010-03-01	2012-09-05	high	NSC-778709
adagrasib	adagrasib	adagrasib	1	2024-06-21	2024-06-21	BMS-986503|MRTX-849|MRTX849	BMS-986503:ctgov:strong|MRTX-849:conf+ctgov:strong|MRTX849:conf+ctgov+ctloc:strong	BMS-986503|MRTX-849|MRTX849	37	2019-01-15	NCT03785249	PHASE1;PHASE2	1	code	Mirati Therapeutics Inc.	2019-10-17	NCT03994796	9	2019-01-15	2019-01-15	2019-01-15	high	BMS-986503
daratumumab and hyaluronidase-fihj	daratumumab|daratumumab and|daratumumab and hyaluronidase|darzalex|darzalex faspro	daratumumab|darzalex	4	2024-07-30	2026-01-27	HLX15	HLX15:ctgov:strong	HLX15	297	2008-03-26	NCT00574288	PHASE2	1	inn	Janssen Research & Development, LLC	2008-03-26	NCT00574288	0	2008-03-26	2008-03-26	2008-03-26	low	HLX15
afamitresgene autoleucel	afamitresgene autoleucel|tecelra	afamitresgene autoleucel|tecelra	1	2024-08-02	2024-08-02				2	2019-08-13	NCT04044768	PHASE2	0	inn	USWM CT, LLC	2019-08-13	NCT04044768	0	2023-09-01	2019-08-13	2019-08-13	low	
vorasidenib	voranigo|vorasidenib	voranigo|vorasidenib	1	2024-08-06	2024-08-06	AG-881|AG881	AG-881:ctgov+ctloc:strong|AG881:ctgov:strong	AG-881|AG881	23	2015-06	NCT02481154	PHASE1	1	code	Institut de Recherches Internationales Servier	2019-10-02	NCT04145128	52	2015-06	2015-06	2015-06	high	AG881
axatilimab-csfr	axatilimab|niktimvo	axatilimab|niktimvo	1	2024-08-14	2024-08-14	INCA-034176|INCA-34176|INCA034176|INCA34176|SNDX-6352|SNDX6352|SNDX6532|UCB6352	INCA-034176:ctgov:strong|INCA-34176:ctgov:strong|INCA034176:ctgov:strong|INCA34176:ctgov:strong|SNDX-6352:conf+ctgov+ctloc:strong|SNDX6352:ctgov:strong|SNDX6532:ctgov:strong|UCB6352:ctgov:strong	INCA-034176|INCA-34176|INCA034176|INCA34176|SNDX-6352|SNDX6352|SNDX6532|UCB6352	26	2017-09-01	NCT03238027	PHASE1	1	inn	Syndax Pharmaceuticals	2017-09-01	NCT03238027	0	2017-09-01	2017-09-01	2017-09-01	high	INCA-034176|INCA-34176|INCA034176|INCA34176|SNDX6352|SNDX6532|UCB6352
lazertinib	lazcluze|lazertinib	lazcluze|lazertinib	1	2024-08-19	2024-08-19	YH-25448|YH25448	YH-25448:ctgov:strong|YH25448:ctgov:strong	YH-25448|YH25448	39	2016-05-24	NCT02609776	PHASE1	0	inn	Janssen Research & Development, LLC	2016-05-24	NCT02609776	0	2017-02-15	2016-05-24	2016-05-24	medium	YH-25448|YH25448
atezolizumab and hyaluronidase-tqjs	atezolizumab|atezolizumab and|atezolizumab and hyaluronidase|tecentriq|tecentriq hybreza	atezolizumab|tecentriq	2	2024-09-12	2026-05-15	MDPL3280A|MPDL-3280A|MPDL-328OA|MPDL3280|MPDL3280A|MPDL328OA|RG-7446|RG7446|RO-5541267|RO5541267|RO7538483	MDPL3280A:ctgov:strong|MPDL-3280A:ctgov:strong|MPDL-328OA:ctgov:strong|MPDL3280:ctgov:strong|MPDL3280A:ctgov:strong|MPDL328OA:ctgov:strong|RG-7446:ctgov:strong|RG7446:ctgov:strong|RO-5541267:ctgov:strong|RO5541267:ctgov:strong|RO7538483:ctgov:strong	MDPL3280A|MPDL-3280A|MPDL-328OA|MPDL3280|MPDL3280A|MPDL328OA|RG-7446|RG7446|RO-5541267|RO5541267|RO7538483	385	2008-10-16	NCT00781612	PHASE2	0	inn	Genentech, Inc.	2008-10-16	NCT00781612	0	2011-06-21	2008-10-16	2008-10-16	low	MDPL3280A|MPDL-3280A|MPDL-328OA|MPDL3280|MPDL3280A|MPDL328OA|RG-7446|RG7446|RO-5541267|RO5541267|RO7538483
ribociclib	kisqali|ribociclib	kisqali|ribociclib	1	2024-09-17	2024-09-17	LEE-011|LEE011|RO7072612	LEE-011:ctgov:strong|LEE011:ctgov:strong|RO7072612:ctgov:strong	LEE-011|LEE011|RO7072612	177	2010-12-21	NCT01237236	PHASE1	1	code	Novartis Pharmaceuticals	2013-07	NCT01777776	31	2010-12-21	2010-12-21	2013-07	high	LEE-011|LEE011|RO7072612
isatuximab-irfc	isatuximab|sarclisa	isatuximab|sarclisa	2	2024-09-20	2026-07-09	HU-38SB19|SAR-650984|SAR650984	HU-38SB19:ctgov:rejected|SAR-650984:ctgov:strong|SAR650984:ctgov:strong	SAR-650984|SAR650984	100	2010-05-11	NCT01084252	PHASE1;PHASE2	1	inn	Sanofi	2010-05-11	NCT01084252	0	2010-05-11	2010-05-11	2010-05-11	high	SAR-650984|SAR650984
